"IE_XML_ID"	"IE_NAME"	"IE_ACTIVE"	"IE_CODE"	"IP_PROP35"	"IP_PROP36"	"IP_PROP37"	"IP_PROP51"	"IP_PROP6"	"IP_PROP8"	"IP_PROP23"	"IP_PROP24"	"IP_PROP25"	"IP_PROP27"	"IP_PROP30"	"IP_PROP42"	"IP_PROP55"	"IC_GROUP0"	"CV_PRICE_1"	"CV_CURRENCY_1"
	"Журнальный стол ПАЛИАТ 381001"	"N"	381001	58	44	45	19		"AntiqueWhite"	"Под заказ"	"circle"	"nature"	42000	381001	"pelit"	"Индонезия"	"Журнальные столы"	42000	"RUB"
	"Журнальный стол ПАЛИАТ 381002"	"N"	381002	56	43	45	20,7		"AntiqueWhite"	"Под заказ"	"circle"	"nature"	41000	381002	"pelit"	"Индонезия"	"Журнальные столы"	41000	"RUB"
	"Журнальный стол ПАЛИАТ 381003"	"N"	381003	59	57	45	38,7		"AntiqueWhite"	"Под заказ"	"circle"	"nature"	72500	381003	"pelit"	"Индонезия"	"Журнальные столы"	72500	"RUB"
	"Журнальный стол ПАЛИАТ 381004"	"Y"	381004	65	64	45	39,8		"AntiqueWhite"	"В резерве"	"circle"	"nature"	74600	381004	"pelit"	"Индонезия"	"Журнальные столы"	74600	"RUB"
	"Журнальный стол ПАЛИАТ 381005"	"N"	381005	75	60	45	46		"AntiqueWhite"	"Под заказ"	"circle"	"nature"	86200	381005	"pelit"	"Индонезия"	"Журнальные столы"	86200	"RUB"
	"Журнальный стол ПАЛИАТ 381006"	"Y"	381006	75	60	45	45		"AntiqueWhite"	"В наличии"	"circle"	"nature"	84300	381006	"pelit"	"Индонезия"	"Журнальные столы"	84300	"RUB"
	"Журнальный стол ПАЛИАТ 381007"	"Y"	381007	81	65	45	53		"AntiqueWhite"	"В резерве"	"circle"	"nature"	99300	381007	"pelit"	"Индонезия"	"Журнальные столы"	99300	"RUB"
	"Журнальный стол ПАЛИАТ 381008"	"Y"	381008	83	64	45	50,3		"AntiqueWhite"	"В наличии"	"circle"	"nature"	94300	381008	"pelit"	"Индонезия"	"Журнальные столы"	94300	"RUB"
	"Журнальный стол ПАЛИАТ 381009"	"N"	381009	106	80	45	80		"black"	"Под заказ"	"circle"	"nature"	149900	381009	"pelit"	"Индонезия"	"Большие столы"	149900	"RUB"
	"Журнальный стол ПАЛИАТ 381009"	"N"	381009	106	80	45	80		"black"	"Под заказ"	"circle"	"nature"	149900	381009	"pelit"	"Индонезия"	"Журнальные столы"	149900	"RUB"
